no,classification,foodname,serving,kcal,car,pro,fat,sugars,salt,cholesterol,sfacid,tfacid
1,곡류 및 그 제품,고량미,100,349,67.8,10.1,3.7,0,0,0,0,0
2,곡류 및 그 제품,유아용과자,30,129.9,20.13,3.54,3.96,0,57.6,0,0,0
3,곡류 및 그 제품,귀리 오트밀 ,100,348,64.9,13.2,8.2,0,4,0,0,0
4,곡류 및 그 제품,귀리(겉귀리),100,332,73.5,11.4,3.7,0,2,0,0,0
5,곡류 및 그 제품,귀리(쌀귀리),100,334,70.4,14.3,3.8,0,3,0,0,0
6,곡류 및 그 제품,기장,100,360,74.6,11.2,1.9,0,6,0,0,0
7,곡류 및 그 제품,냄비우동,100,206,43.9,6,0.7,0,0,0,0,0
8,곡류 및 그 제품,녹두국수 ,100,356,87.5,0.2,0.4,0,14,0,0,0
9,곡류 및 그 제품,엿강정 ,30,135.3,11.73,11.31,4.8,0,1.5,0,0,0
10,곡류 및 그 제품,도토리 국수,100,307,72.2,12.4,0.7,0,517,0,0,0
11,곡류 및 그 제품,들깨 엿강정 ,30,161.4,14.67,3.96,9.66,0,1.2,0,0,0
12,곡류 및 그 제품,땅콩 엿강정 ,30,173.4,10.17,6.42,11.88,0,0.9,0,0,0
13,곡류 및 그 제품,라면,100,101,18.5,2.2,2,0,388,0,0,0
14,곡류 및 그 제품,진라면 매운맛,100,369,78.69,8.59,2.22,0,1338,0,1.44,0
15,곡류 및 그 제품,고기만두,100,208,27.79,9.38,6.58,0.49,261,7.35,2.41,0
16,곡류 및 그 제품,김치만두,100,187,23.82,8.13,6.59,0.67,423,7.68,2.37,0
17,곡류 및 그 제품,건조 메밀국수,100,108,22.65,4.28,0.4,0,35,0,0.12,0
18,곡류 및 그 제품,메밀국수,100,117,25.73,3.54,0.44,0,38,0,0.13,0
19,곡류 및 그 제품,메밀냉면 인스턴트,100,339,73.66,10.74,1.44,0,628,0,0.34,0
20,곡류 및 그 제품,메밀,100,345,67.84,13.64,3.38,0.5,1,0,0.71,0
21,곡류 및 그 제품,쌀과자 ,100,469,78.2,3.2,15.9,0,224,0,0,0
22,곡류 및 그 제품,쌀엿강정 ,100,395,89.96,4.11,2.13,35.58,4,0,1.12,0
23,곡류 및 그 제품,튀김쌀과자 ,30,139.5,21.36,1.71,5.25,0,147,0,0,0
24,곡류 및 그 제품,튀밥 ,100,393,80.7,8.7,3.9,0,74,0,0,0
25,곡류 및 그 제품,가래떡 ,100,213,48.8,3.71,0.37,0.09,261,0,0.16,0
26,곡류 및 그 제품,흑미가래떡 ,100,205,47.8,3.5,0,0,226,0,0,0
27,곡류 및 그 제품,개피떡 ,100,207,45.6,4.3,0.8,0,155,0,0,0
28,곡류 및 그 제품,쑥개피떡 ,100,206,45.2,4.5,0.8,0,157,0,0,0
29,곡류 및 그 제품,꿀떡 ,100,210,46.14,3.09,1.46,7.39,248,0,0.28,0
30,곡류 및 그 제품,무지개떡 ,100,229,53,3.5,0.3,0,277,0,0,0
